Muldrotha, the Gravetide — 2567 decks on EDHREC; brackets {'2': 1800, '3': 2567, '4': 1340, '5': 158, '1': 71}
themes: Reanimator (395), Graveyard (233), Mill (231), Self-Mill (178), Combo (102), Dredge (88), Midrange (83), Lands Matter (81), Control (78), Ramp (63), Toolbox (45), Good Stuff (33), Sacrifice (28), Aristocrats (27), Tokens (25), Birthing Pod (19), Clones (18), Landfall (17), Discard (14), Flashback (14), +1/+1 Counters (13), Commander Matters (12), Artifacts (11), Pillow Fort (10), Infect (9)

top 600 cards by inclusion (synergy in brackets):
    9% (-0.06)  Villainous Wealth
    9% (+0.08)  Mishra's Bauble
    9% (+0.06)  Deadbridge Chant
    9% (-0.06)  Conduit of Worlds
    9% (-0.02)  Dread Return
    9% (+0.06)  Expedition Map
    8% (+0.03)  Chromatic Lantern
    8% (+0.08)  Executioner's Capsule
    8% (-0.05)  Culling Ritual
    8% (+0.07)  Defense of the Heart
    8% (-0.01)  Temple of the False God
    8% (+0.06)  Out of the Tombs
    8% (+0.08)  Elephant Grass
    8% (+0.04)  Urza's Saga
    8% (-0.03)  Mana Drain
    8% (+0.06)  Liliana, Death's Majesty
    8% (+0.01)  Thassa's Oracle
    8% (+0.07)  The Eldest Reborn
    8% (+0.00)  Damnation
    8% (-0.09)  Swan Song
    8% (-0.08)  Arcane Denial
    8% (-0.01)  Mistrise Village
    8% (+0.05)  Palantír of Orthanc
    8% (+0.04)  Cabal Coffers
    8% (+0.06)  Dance of the Dead
    7% (-0.01)  Bala Ged Recovery
    7% (+0.01)  Wild Growth
    7% (+0.07)  Nihil Spellbomb
    7% (+0.05)  Wasteland
    7% (+0.06)  Journey to Eternity
    7% (+0.07)  Mindslaver
    7% (+0.06)  Soul-Guide Lantern
    7% (+0.05)  Birthing Pod
    7% (+0.02)  Splendid Reclamation
    7% (-0.00)  Sylvan Library
    7% (+0.06)  Vessel of Nascency
    7% (-0.10)  Rogue's Passage
    7% (+0.00)  Breach the Multiverse
    7% (+0.00)  Propaganda
    7% (+0.02)  Thespian's Stage
    6% (+0.05)  Tranquil Thicket
    6% (+0.03)  Skullclamp
    6% (+0.05)  Barren Moor
    6% (-0.04)  Abrupt Decay
    6% (+0.02)  Blasphemous Edict
    6% (+0.04)  Wrenn and Seven
    6% (+0.05)  High Market
    6% (+0.05)  Invasion of Amonkhet
    6% (+0.04)  Elixir of Immortality
    6% (+0.04)  Cemetery Tampering
    6% (+0.04)  Unmarked Grave
    6% (+0.04)  Grave Pact
    6% (+0.01)  Diabolic Intent
    6% (+0.04)  Wrenn and Realmbreaker
    5% (-0.03)  Frantic Search
    5% (+0.04)  Lonely Sandbar
    5% (+0.04)  Font of Fertility
    5% (+0.04)  The Everflowing Well
    5% (-0.02)  Fell the Profane
    5% (+0.02)  Dark Depths
    5% (-0.00)  Phyrexian Arena
    4% (+0.04)  Primal Witchstalker
    3% (-0.00)  The Master of Lake-town
    3% (+0.02)  Bilbo, Thief in the Night
    2% (+0.01)  Troop of Ponies
    1% (+0.01)  Tom, Bert, and William

highest synergy: Spore Frog (+0.58); Kaya's Ghostform (+0.46); Seal of Primordium (+0.46); Gravebreaker Lamia (+0.44); Haywire Mite (+0.42); Sakura-Tribe Elder (+0.40); Pernicious Deed (+0.39); Secrets of the Dead (+0.37); Animate Dead (+0.34); Siren Stormtamer (+0.34); Doc Aurlock, Grizzled Genius (+0.33); Altar of Dementia (+0.32); The Gitrog Monster (+0.31); Stitcher's Supplier (+0.31); Eternal Witness (+0.31); Seal of Removal (+0.30); Accursed Marauder (+0.30); Plaguecrafter (+0.29); Mulldrifter (+0.28); Teval, the Balanced Scale (+0.27)
